숫자,코드
"(7, 16)",72b
"(7, 17)",72c
"(7, 18)",n72_01
"(7, 19)",72f
"(7, 20)",72g
"(7, 21)",n72_02
"(7, 22)",72d
"(7, 23)",
"(7, 24)",73c
"(7, 25)",73q
"(7, 26)",73d
"(7, 27)",n73_06
"(7, 28)",73p
"(7, 29)",73b
"(7, 30)",73f
"(7, 31)",73l
"(7, 32)",n73_03
"(7, 33)",73s
"(7, 34)",73e
"(7, 35)",73g
"(7, 36)",73h
"(7, 37)",73i
"(7, 38)",73j
"(7, 39)",73k
"(7, 40)",n73_02
"(7, 41)",n73_05
"(7, 42)",73m
"(7, 43)",73n
"(7, 44)",62z
"(7, 45)",73o
"(7, 46)",73r
"(8, 1)",81a
"(8, 2)",81b
"(8, 3)",81c
"(8, 4)",81d
"(8, 5)",81e
"(8, 6)",82a
